SAC,MIL
90,78
NYK,MIN
105,85
HOU,ORL
86,79
ATL,POR
62,83
UTA,WAS
78,94
LAC,LAL
126,76
OKC,PHO
103,99
MIA,SAS
72,89
BRK,BOS
62,70
CLE,CHA
77,81
MEM,CHI
75,64
POR,DAL
83,78
LAL,DEN
102,122
ATL,GSW
86,92
IND,HOU
75,93
DET,MIN
80,88
MIL,NOP
85,92
UTA,NYK
66,96
SAC,TOR
65,78
NYK,CLE
90,81
ATL,LAC
88,91
CHA,MEM
79,95
WAS,MIL
101,82
UTA,PHI
84,77
ORL,SAS
99,95
DET,BOS
84,104
SAC,BRK
77,94
MIA,CHI
67,83
IND,DAL
71,80
PHO,GSW
82,100
POR,HOU
87,85
OKC,LAL
96,89
TOR,MIN
88,89
DEN,NOP
87,87
TOR,BRK
76,79
DEN,CHA
77,82
PHO,LAC
85,90
WAS,MIA
84,90
ORL,MIL
93,84
PHI,NYK
92,101
ATL,UTA
89,90
SAS,CHI
92,72
SAC,DET
71,83
DAL,GSW
65,94
BOS,IND
67,84
POR,MEM
77,100
MIL,MIN
83,90
HOU,OKC
75,79
NYK,BOS
95,76
GSW,LAC
80,94
BRK,MIA
80,75
MEM,NOP
68,66
DEN,ORL
104,99
SAC,PHI
75,74
CLE,PHO
88,88
POR,SAS
68,87
DET,TOR
77,82
DAL,UTA
97,85
CHA,WAS
81,79
MIL,ATL
77,85
HOU,CHI
61,100
LAL,OKC
87,103
PHO,BOS
73,61
MIN,CHA
76,96
CLE,GSW
90,81
DEN,MIA
86,91
POR,NOP
90,85
WAS,ORL
82,93
IND,PHI
87,78
LAL,SAS
66,109
MEM,TOR
68,81
LAC,UTA
83,77
DEN,ATL
76,80
SAC,CHI
64,68
IND,DET
89,81
MIL,NYK
74,92
MEM,PHI
80,68
BRK,WAS
79,80
CLE,LAC
66,92
HOU,MIA
83,89
CHA,MIL
87,81
SAC,MIN
88,74
BOS,NOP
102,97
DAL,OKC
93,67
GSW,POR
95,86
UTA,SAS
89,108
PHO,TOR
87,91
PHO,BRK
80,91
ATL,CHA
91,69
OKC,CHI
75,63
BOS,DAL
77,75
LAC,DEN
77,82
UTA,HOU
72,105
PHI,IND
79,68
TOR,ATL
87,91
MIA,CLE
80,81
ORL,GSW
74,84
MIL,POR
98,96
WAS,SAC
91,86
MIA,BOS
84,91
CHA,BRK
89,83
MIN,DAL
98,103
DET,DEN
96,99
SAS,LAL
112,87
UTA,MEM
81,74
TOR,NOP
81,76
IND,NYK
67,68
CHI,PHI
80,85
ORL,PHO
70,101
OKC,CLE
86,80
MIL,GSW
81,94
MIN,HOU
88,114
WAS,POR
88,96
NOP,ATL
76,84
BOS,BRK
79,97
DEN,DAL
93,108
CHI,IND
61,70
WAS,LAL
94,93
MEM,MIA
75,77
NYK,PHI
75,78
DET,PHO
82,74
SAS,SAC
77,68
OKC,TOR
88,90
POR,CHA
77,106
PHI,CHI
61,67
HOU,CLE
88,98
SAS,GSW
80,65
DET,LAC
96,101
IND,MEM
60,71
MIA,NOP
82,93
ORL,UTA
69,69
BRK,DAL
79,80
WAS,DEN
87,91
ORL,LAL
80,80
PHO,MIN
104,88
CLE,NYK
93,82
MIL,SAC
88,95
ATL,TOR
71,76
PHO,ATL
88,68
HOU,CHA
90,68
IND,CHI
58,74
MIL,LAC
87,84
MIN,MEM
75,102
POR,MIA
67,79
BRK,NOP
76,89
DEN,OKC
69,101
PHI,SAS
83,101
DET,UTA
101,75
TOR,CLE
84,76
OKC,DAL
104,105
NYK,LAL
76,114
POR,ORL
71,80
TOR,BOS
83,73
BRK,CHA
97,100
CLE,DET
83,89
MIA,IND
62,67
ATL,MIN
69,95
LAC,NOP
79,79
NYK,SAC
95,72
DEN,SAS
83,94
MEM,UTA
76,69
PHO,WAS
88,80
POR,ATL
84,72
LAC,DAL
87,84
PHI,HOU
84,97
LAL,MIL
91,84
CLE,BRK
84,92
POR,CHI
80,69
SAS,DEN
123,76
MIA,DET
94,63
MEM,GSW
84,89
LAL,MIN
95,110
UTA,NOP
73,78
SAC,OKC
71,75
CHA,ORL
94,84
NYK,PHO
78,94
BOS,TOR
86,85
IND,WAS
58,75
SAC,DAL
87,75
LAC,HOU
96,71
MIA,MIL
71,58
DET,PHI
72,108
NOP,SAS
67,83
ATL,WAS
77,84
CHI,BOS
82,90
MIN,BRK
81,98
IND,CLE
66,73
NYK,GSW
73,66
PHO,LAL
78,93
UTA,OKC
78,93
